iter	Logloss
0	0.6606038124
1	0.6281794711
2	0.6064676105
3	0.5910939846
4	0.5748703773
5	0.5650261973
6	0.5614994062
7	0.5469921031
8	0.5439605501
9	0.5340708274
10	0.5283260175
11	0.5256665326
12	0.5152217677
13	0.5080623694
14	0.5060465236
15	0.5014253663
16	0.4980842911
17	0.4965868279
18	0.4951992068
19	0.4894795794
20	0.4832690664
21	0.4789738025
22	0.4763562223
23	0.4703760731
24	0.4662252669
25	0.4662083776
26	0.4640505414
27	0.4585904003
28	0.4559676894
29	0.4509408705
30	0.4478043104
31	0.4463409764
32	0.4425364659
33	0.4417362207
34	0.4411865661
35	0.4374532004
36	0.4369327411
37	0.4300975334
38	0.4278542067
39	0.423586479
40	0.4214465359
41	0.4185242535
42	0.4132236903
43	0.411185423
44	0.411185423
45	0.4075012719
46	0.406164552
47	0.4021941266
48	0.400600612
49	0.3976136338
50	0.3961825904
51	0.3906415948
52	0.3906039665
53	0.3897370351
54	0.3878224551
55	0.3877417074
56	0.3854134041
57	0.3823685932
58	0.3783238198
59	0.3764858905
60	0.3764843824
61	0.3726727283
62	0.3704504178
63	0.3679816892
64	0.3656526691
65	0.3630689259
66	0.3583108182
67	0.354182347
68	0.351824347
69	0.3514972455
70	0.34888837
71	0.3472151417
72	0.3457707116
73	0.3427251032
74	0.3386097467
75	0.3375467627
76	0.3359832382
77	0.333553053
78	0.3288778667
79	0.327568832
80	0.3229959844
81	0.319553407
82	0.3167044154
83	0.3131030714
84	0.3105889028
85	0.3088817166
86	0.3054109913
87	0.3052679532
88	0.3044861841
89	0.3015305319
90	0.2962263632
91	0.2958462746
92	0.2951177987
93	0.2925743884
94	0.2904772177
95	0.2893224681
96	0.2849920865
97	0.2824058594
98	0.2818414122
99	0.2807248007
100	0.2758584251
101	0.272972966
102	0.2696207938
103	0.2673091594
104	0.2666655792
105	0.2650362606
106	0.2639296549
107	0.2624739516
108	0.2570225726
109	0.25514789
110	0.2525808106
111	0.2511923999
112	0.2473360778
113	0.245794515
114	0.244188646
115	0.2420404398
116	0.2392907206
117	0.2391026333
118	0.2389732265
119	0.2378800049
120	0.2370900117
121	0.2357794281
122	0.2338588899
123	0.2317377051
124	0.231128229
125	0.2298342068
126	0.2286806599
127	0.227990746
128	0.226617155
129	0.2264753247
130	0.2253970926
131	0.224270526
132	0.2236319046
133	0.2226624224
134	0.2218404024
135	0.2190105093
136	0.218791025
137	0.2176026046
138	0.2162847322
139	0.2143588664
140	0.2132981906
141	0.2118897729
142	0.2106914618
143	0.2101227619
144	0.2096636558
145	0.2076540315
146	0.205641325
147	0.2033369918
148	0.2018440153
149	0.2017900764
150	0.2011017569
151	0.1996365038
152	0.1986459219
153	0.1975824032
154	0.1966249125
155	0.1958656804
156	0.1931367213
157	0.191973323
158	0.1910847624
159	0.190577203
160	0.1891011772
161	0.1879642359
162	0.1872064565
163	0.1867801685
164	0.1859274682
165	0.1851110125
166	0.1825101739
167	0.1812479067
168	0.179952744
169	0.1791752633
170	0.178023979
171	0.1774912103
172	0.1770508104
173	0.1759199432
174	0.1735592414
175	0.1719629242
176	0.1710160357
177	0.1686654337
178	0.1685281842
179	0.1670714145
180	0.1662786765
181	0.1648465445
182	0.1629742119
183	0.1621329885
184	0.1604071087
185	0.1588203537
186	0.157749567
187	0.156777309
188	0.1557945062
189	0.155360478
190	0.1549152204
191	0.1542425889
192	0.153733924
193	0.153525163
194	0.1528093027
195	0.1518698279
196	0.1513206086
197	0.15010323
198	0.1493313827
199	0.1484587805
