Model,Best CV Accuracy,ROC-AUC,Precision,Recall,F1
XGBoost (Tuned),0.76875,0.7870535714285716,0.8004498297175486,0.8928571428571429,0.843893792054273
CatBoost (Tuned),0.7662500000000001,0.7864583333333333,0.7970778309529397,0.8946428571428571,0.8428680004277224
Random Forest (Tuned),0.76875,0.7811755952380952,0.7889821665551019,0.9142857142857144,0.8467027204222791
MLP (Tuned),0.77125,0.7784598214285714,0.8167125998453425,0.8732142857142857,0.8429603270052495
